,id,title,genres,TMDB_score,TMDB_vote_count,rotten_score,rotten_aud_score,revenue,release_date,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
107,10054,Spy Kids,"['Action', 'Comedy', 'Family', 'Adventure']",5.8,2566,93.0,46.0,147934180,2001-03-18,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,10833,Heartbreakers,"['Crime', 'Comedy', 'Romance']",6.0,646,54.0,51.0,0,2001-03-23,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,4133,Blow,"['Crime', 'Drama']",7.4,3290,55.0,87.0,83282296,2001-04-04,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,2043,Along Came a Spider,"['Crime', 'Mystery', 'Thriller', 'Action']",6.3,1252,32.0,53.0,105178561,2001-04-06,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
111,56715,Just Visiting,"['Comedy', 'Fantasy', 'Science Fiction']",4.6,483,33.0,53.0,0,2001-04-06,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
112,10956,Joe Dirt,"['Mystery', 'Adventure', 'Comedy', 'Romance', 'Drama']",5.6,534,10.0,63.0,30987695,2001-04-10,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
113,9290,Crocodile Dundee in Los Angeles,"['Adventure', 'Comedy']",5.2,420,11.0,25.0,39438674,2001-04-12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,634,Bridget Jones's Diary,"['Comedy', 'Romance', 'Drama']",6.7,3857,80.0,81.0,281929795,2001-04-13,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
115,1433,The Devil's Backbone,"['Fantasy', 'Drama', 'Horror', 'Thriller']",7.3,788,,,6582065,2001-04-20,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
116,194,Amélie,"['Comedy', 'Romance']",7.9,8782,89.0,95.0,173921954,2001-04-25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
117,10477,Driven,['Action'],5.1,491,14.0,33.0,54744738,2001-04-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1734,The Mummy Returns,"['Adventure', 'Action', 'Fantasy']",6.3,5252,47.0,63.0,443280904,2001-05-04,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,2057,Original Sin,['Thriller'],6.0,593,12.0,61.0,35402320,2001-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,9476,A Knight's Tale,"['Adventure', 'Drama', 'Romance', 'Action']",6.8,2243,59.0,79.0,117487473,2001-05-11,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
121,808,Shrek,"['Animation', 'Comedy', 'Fantasy', 'Adventure']",7.7,12435,88.0,90.0,484409218,2001-05-18,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,676,Pearl Harbor,"['War', 'History', 'Romance', 'Drama']",6.9,4772,24.0,66.0,449220945,2001-05-21,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
123,824,Moulin Rouge!,"['Drama', 'Romance', 'Music']",7.6,3515,76.0,89.0,179213434,2001-05-24,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
124,11090,The Animal,['Comedy'],5.0,872,30.0,28.0,84772742,2001-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,10865,Atlantis: The Lost Empire,"['Animation', 'Family', 'Adventure', 'Science Fiction']",6.9,3549,49.0,53.0,186053725,2001-06-02,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
126,1018,Mulholland Drive,"['Thriller', 'Drama', 'Mystery']",7.8,4326,83.0,87.0,20117339,2001-06-06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
127,1365,Monster's Ball,"['Romance', 'Drama']",6.7,641,85.0,67.0,44909486,2001-06-07,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
128,9705,Swordfish,"['Action', 'Crime', 'Thriller']",6.2,1998,25.0,59.0,147080413,2001-06-07,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,9397,Evolution,"['Comedy', 'Science Fiction', 'Action']",6.0,1570,43.0,47.0,98376292,2001-06-08,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,1391,Y Tu Mamá También,"['Drama', 'Romance']",7.4,971,92.0,88.0,33616692,2001-06-08,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
131,1995,Lara Croft: Tomb Raider,"['Adventure', 'Fantasy', 'Action', 'Thriller']",5.9,4815,20.0,47.0,274703340,2001-06-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
132,9799,The Fast and the Furious,"['Action', 'Crime', 'Thriller']",6.9,7365,53.0,74.0,207283925,2001-06-22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,10808,Dr. Dolittle 2,"['Comedy', 'Family', 'Romance', 'Fantasy']",5.3,1239,42.0,26.0,176104344,2001-06-22,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
134,644,A.I. Artificial Intelligence,"['Drama', 'Science Fiction', 'Adventure']",7.0,4695,74.0,64.0,235926552,2001-06-29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
135,8922,Jeepers Creepers,"['Horror', 'Thriller']",6.4,1976,46.0,49.0,59217789,2001-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
